,Term,fdr,es,nes
38,dermatan sulfate proteoglycan biosynthetic process (GO:0050651),0.0892113654835461,-0.9005358576030887,-1.3318346643665584
39,negative regulation of myeloid leukocyte differentiation (GO:0002762),0.0894108866734288,-0.8476692849995799,-1.329080435419278
40,regulation of T cell migration (GO:2000404),0.09035622136896387,-0.8566287061532674,-1.334452362019283
41,positive regulation of neuron death (GO:1901216),0.09040563235403622,-0.8443847652990963,-1.3296527009909742
42,prostaglandin metabolic process (GO:0006693),0.09048112135900785,-0.8522823162086501,-1.332085272768201
43,negative regulation of tumor necrosis factor-mediated signaling pathway (GO:0010804),0.0905465451633166,-0.8727309049212955,-1.3281434318351615
44,female gonad development (GO:0008585),0.09069158106684445,-0.8455169267386833,-1.3123659935627043
45,aorta morphogenesis (GO:0035909),0.0907285940100888,-0.8648458166928394,-1.333168314364004
46,prostaglandin biosynthetic process (GO:0001516),0.09078444990625754,-0.8799032339398666,-1.3551983387911473
47,leukocyte cell-cell adhesion (GO:0007159),0.09081870818924104,-0.8727185794922696,-1.350689180067952
48,dicarboxylic acid transport (GO:0006835),0.09122312304202176,-0.8240557513216905,-1.3126322845329146
49,negative regulation of T cell receptor signaling pathway (GO:0050860),0.0914040145985122,-0.8736527853875155,-1.3321544628783741
50,macrophage activation (GO:0042116),0.09148313857236826,-0.8427231325157741,-1.3388954167709533
51,negative regulation of cell-cell adhesion (GO:0022408),0.09159332603225669,-0.8366333321325357,-1.3408304737825198
52,negative regulation of interleukin-2 production (GO:0032703),0.09174286615639096,-0.8726582053789644,-1.3353460423447865
53,positive regulation of antigen receptor-mediated signaling pathway (GO:0050857),0.09179463004551439,-0.8430072179346827,-1.3377836734558113
54,regulation of cellular carbohydrate metabolic process (GO:0010675),0.09190736029293871,-0.8792943370459433,-1.3334767101229728
55,maintenance of blood-brain barrier (GO:0035633),0.09200040748128893,-0.8500362078723358,-1.3128665523680592
56,T cell activation involved in immune response (GO:0002286),0.09210558050003587,-0.8675401915373057,-1.3067425205555612
57,regulation of T cell activation (GO:0050863),0.09222139455362073,-0.8286390335780881,-1.3084976470565468
58,stem cell differentiation (GO:0048863),0.09223843517241744,-0.8391958951267825,-1.3346571742558617
59,embryonic digit morphogenesis (GO:0042733),0.0924973640554322,-0.8768178243078009,-1.3267356976364464
60,apoptotic cell clearance (GO:0043277),0.09255383375265774,-0.8044638439718275,-1.3077636043133125
61,regulation of leukocyte activation (GO:0002694),0.09256159833602626,-0.8858930956450461,-1.3368385032112824
62,negative regulation of T cell activation (GO:0050868),0.09258945621398998,-0.8237351925365923,-1.3068273719551076
63,regulation of nitric oxide biosynthetic process (GO:0045428),0.09262246452700114,-0.813285507156383,-1.308763816088454
64,amyloid-beta metabolic process (GO:0050435),0.09279712403153777,-0.8346469417249098,-1.3129346826276107
65,positive regulation of gene silencing by miRNA (GO:2000637),0.09281853545840246,-0.8376651600516457,-1.3091034091878495
66,MyD88-dependent toll-like receptor signaling pathway (GO:0002755),0.09301606341046398,-0.8485535262742795,-1.3164757172998935
67,negative regulation of protein localization to nucleus (GO:1900181),0.09305076708824249,-0.8648480271441678,-1.3198178354202175
68,regulation of interleukin-10 production (GO:0032653),0.09306137237284337,-0.8371205429777876,-1.3357619950232487
69,positive regulation of reactive oxygen species metabolic process (GO:2000379),0.09330689197524764,-0.8155151170166259,-1.315752035969752
70,interleukin-7-mediated signaling pathway (GO:0038111),0.09332705684643869,-0.8810474286848331,-1.3203277164625302
71,cellular response to interleukin-7 (GO:0098761),0.09332705684643869,-0.8810474286848331,-1.3203277164625302
72,positive regulation of organelle organization (GO:0010638),0.09349346087044139,-0.8219306510842221,-1.306925316998216
73,negative regulation of interleukin-10 production (GO:0032693),0.09361526592120935,-0.8477983908521556,-1.3057872550717111
74,integrated stress response signaling (GO:0140467),0.09364782878248981,-0.8456064540555218,-1.3182852970296293
75,regulation of interferon-alpha production (GO:0032647),0.09367193375772341,-0.8522494853914173,-1.3167060252792822
76,positive regulation of interleukin-6 production (GO:0032755),0.09388541517631513,-0.8165176723250405,-1.3091149550839114
77,acyl-CoA biosynthetic process (GO:0071616),0.09395565583108091,-0.8743093429100073,-1.3389057375684508
78,regulation of osteoclast differentiation (GO:0045670),0.09397177117117748,-0.8265975297696541,-1.3130107920029932
79,pulmonary valve development (GO:0003177),0.09421027820460687,-0.8541668560581968,-1.3045583247044452
80,regulation of interferon-gamma production (GO:0032649),0.09434882273137835,-0.8089805779617996,-1.317906339523328
81,positive regulation of nitric oxide metabolic process (GO:1904407),0.0946028210304594,-0.8260360549409325,-1.31578443345779
82,T cell proliferation (GO:0042098),0.0946028210304594,-0.840782354487761,-1.3510762582820266
83,hematopoietic progenitor cell differentiation (GO:0002244),0.0946198881098443,-0.8553864463437801,-1.3529854865813427
84,response to axon injury (GO:0048678),0.09476445631169281,-0.8500757620723959,-1.3096904773925448
85,positive regulation of interleukin-12 production (GO:0032735),0.09478124958766511,-0.8425374795752203,-1.3183723878565778
86,protein homotetramerization (GO:0051289),0.09488320876321123,-0.8195669051605183,-1.3038948110639526
87,cellular response to amyloid-beta (GO:1904646),0.09489722814984879,-0.8181025932398568,-1.3048465853799156
88,response to amyloid-beta (GO:1904645),0.09493497265233462,-0.8194397116436172,-1.313129226499988
89,negative regulation of cell junction assembly (GO:1901889),0.09496396043024373,-0.8518226690832105,-1.3028372020734966
90,negative regulation of phosphate metabolic process (GO:0045936),0.09497710605045834,-0.8443958085965986,-1.3091255943491185
91,negative regulation of tumor necrosis factor production (GO:0032720),0.09502949801508172,-0.8273819467582297,-1.3167118876827577
92,negative regulation of chemokine production (GO:0032682),0.0950514414028623,-0.8427623553804945,-1.325035795169079
93,protein localization to cell surface (GO:0034394),0.09525705907354695,-0.8360513334033857,-1.3031812586970317
94,regulation of triglyceride biosynthetic process (GO:0010866),0.0953560788854737,-0.8791286673289328,-1.3145344087983257
95,negative regulation of lymphocyte activation (GO:0051250),0.09557384802072619,-0.8334504260706711,-1.313504716424824
96,positive regulation of response to biotic stimulus (GO:0002833),0.09566829441491626,-0.8195255504462653,-1.3097672997946384
97,positive regulation of lipid storage (GO:0010884),0.09572979882081022,-0.8712599169969723,-1.3206745154488433
98,positive regulation of phosphatase activity (GO:0010922),0.09580706258095614,-0.8464065482006743,-1.322726856490741
99,positive regulation of T cell cytokine production (GO:0002726),0.09596887006442621,-0.8484322124751825,-1.3139433770953843
100,regulation of B cell activation (GO:0050864),0.09604554336443688,-0.846925492909403,-1.3131682675109775
101,regulation of establishment or maintenance of cell polarity (GO:0032878),0.0961936524825986,-0.8791167708139219,-1.3237709585194464
102,positive regulation of nitric oxide biosynthetic process (GO:0045429),0.09668136746899,-0.8263503488060022,-1.3208502812090837
103,regulation of interleukin-2 production (GO:0032663),0.09697161394508673,-0.8428217129805301,-1.322927763792872
104,positive regulation of chromatin organization (GO:1905269),0.09813570646313216,-0.8466596709499055,-1.3208730445288013
105,prostanoid metabolic process (GO:0006692),0.0983666140077513,-0.8416052272289876,-1.3010452230969822
106,regulation of macrophage activation (GO:0043030),0.09846785808500737,-0.8325347668798346,-1.3001272048424908
107,regulation of lymphocyte activation (GO:0051249),0.0986006601015206,-0.8117545090204694,-1.3004081850127966
108,negative regulation of interferon-gamma production (GO:0032689),0.09860675785415518,-0.83260725322577,-1.2997456731815573
109,lipopolysaccharide-mediated signaling pathway (GO:0031663),0.09878087586007792,-0.8310910328973808,-1.3014665846581193
110,defense response to Gram-positive bacterium (GO:0050830),0.10061657712252015,-0.8121563853103674,-1.2915835810317726
111,negative regulation of focal adhesion assembly (GO:0051895),0.10087393202883517,-0.861984101856786,-1.2920598059340003
112,negative regulation of cell-substrate junction organization (GO:0150118),0.10087393202883517,-0.861984101856786,-1.2920598059340003
113,T cell receptor signaling pathway (GO:0050852),0.10089616891590157,-0.7873956773939131,-1.291877160178677
114,negative regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045736),0.1011015855917957,-0.8474607146533824,-1.297753057921126
115,purinergic nucleotide receptor signaling pathway (GO:0035590),0.10121122548403179,-0.8525807779296886,-1.297355135086539
116,TRIF-dependent toll-like receptor signaling pathway (GO:0035666),0.10158712074326948,-0.8289018160365756,-1.2984233194798476
117,regulation of interleukin-17 production (GO:0032660),0.10177930910309667,-0.8191163586600103,-1.2939955412967852
118,maintenance of gastrointestinal epithelium (GO:0030277),0.10191159459752315,-0.8524388225509917,-1.2909326510129655
119,embryo development ending in birth or egg hatching (GO:0009792),0.10191839187589287,-0.8723764657593566,-1.2967155345917802
120,regulation of B cell differentiation (GO:0045577),0.10195841323451847,-0.8492115085514873,-1.2978378673554898
121,positive regulation of cell development (GO:0010720),0.10207411134399968,-0.8141647958766228,-1.292151537543952
122,negative regulation of cytokine production (GO:0001818),0.10208820664068176,-0.7823010077964311,-1.2943660022183072
123,positive regulation of immune effector process (GO:0002699),0.10218844590842044,-0.8222652169081344,-1.296328584851906
124,positive regulation of neuron apoptotic process (GO:0043525),0.10281208621459273,-0.833163736611354,-1.2944539135912072
125,modulation by symbiont of entry into host (GO:0052372),0.10292472893853301,-0.8450411817283132,-1.2921591844585483
126,positive regulation of interferon-gamma production (GO:0032729),0.10318621809654187,-0.8018094289623847,-1.2902697112341452
127,lymphocyte proliferation (GO:0046651),0.10323210993098025,-0.8338996247251398,-1.2928665889254893
128,regulation of interleukin-8 production (GO:0032677),0.10330074364540227,-0.8014356699543865,-1.2946350774451343
129,positive regulation of endothelial cell apoptotic process (GO:2000353),0.10346307338541648,-0.8665388737226449,-1.2953866354495762
130,negative regulation of antigen receptor-mediated signaling pathway (GO:0050858),0.10363130602506757,-0.8286052438462967,-1.2923006603479739
131,regulation of cytokine production involved in immune response (GO:0002718),0.10413153759075576,-0.8412473311975245,-1.294666312800309
132,negative regulation of T cell proliferation (GO:0042130),0.1057657576406407,-0.8117392878502634,-1.2889389389341293
133,positive regulation of interferon-alpha production (GO:0032727),0.10888955411090609,-0.837030335564562,-1.287159265611576
134,regulation of cellular biosynthetic process (GO:0031326),0.1096265055471789,-0.8281989445440664,-1.2860917413031745
135,calcium ion transport into cytosol (GO:0060402),0.10971873938598062,-0.8266635796447059,-1.2865282830864773
136,Rac protein signal transduction (GO:0016601),0.10988855584611981,-0.8386695407636536,-1.2851812468381931
137,negative regulation of Rho protein signal transduction (GO:0035024),0.10993560283725554,-0.8393351336204581,-1.2855875699465793
138,protein tetramerization (GO:0051262),0.11010376788645278,-0.8020199384360795,-1.2862000183592919
139,positive regulation of inflammatory response (GO:0050729),0.11151705523774948,-0.7929760299569442,-1.2843515673216246
140,positive regulation of T cell migration (GO:2000406),0.11305233384552825,-0.8296115001785898,-1.282625117041275
141,MyD88-independent toll-like receptor signaling pathway (GO:0002756),0.1138775333626489,-0.8187956554698748,-1.282626904236411
142,inflammatory response (GO:0006954),0.11412902273929519,-0.7814391235894815,-1.2814833893984896
143,plasma membrane invagination (GO:0099024),0.1141367687025597,-0.8136371218180382,-1.2817340761295875
144,antigen receptor-mediated signaling pathway (GO:0050851),0.11418739743835483,-0.7767415320052302,-1.2737830121265998
145,myeloid cell activation involved in immune response (GO:0002275),0.11422996232308583,-0.8455674997586556,-1.283007810641182
146,epithelial cell morphogenesis (GO:0003382),0.11459395657978545,-0.8445785935224188,-1.2738609255683486
147,protein homooligomerization (GO:0051260),0.11500547375952619,-0.7883224068469298,-1.2739667602203382
148,regulation of T cell proliferation (GO:0042129),0.1151458955834084,-0.7966386967663234,-1.2798312559967011
149,defense response to bacterium (GO:0042742),0.11529229850214127,-0.7842262307335546,-1.2800269558892403
150,regulation of necroptotic process (GO:0060544),0.11530644479643604,-0.8201910540141986,-1.2741829327197491
151,defense response to Gram-negative bacterium (GO:0050829),0.1153181506631074,-0.8021454217066919,-1.2755976083426177
152,negative regulation of cytokine production involved in inflammatory response (GO:1900016),0.11552451845089737,-0.8257552989194402,-1.280766746256961
153,"phagocytosis, engulfment (GO:0006911)",0.11557260880386805,-0.8127255569866711,-1.2758810659383364
154,dorsal/ventral pattern formation (GO:0009953),0.11570614449917914,-0.8181908367891398,-1.2801833606542508
155,innate immune response activating cell surface receptor signaling pathway (GO:0002220),0.11572744051059733,-0.7849591253269388,-1.274304967258783
156,negative regulation of chondrocyte differentiation (GO:0032331),0.11574405607994559,-0.8391074573334689,-1.2747653105933412
157,positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557),0.11581658751739995,-0.7899600058077332,-1.2729746868948626
158,response to peptide (GO:1901652),0.11613228524837116,-0.8130889911931334,-1.2759599788472646
159,negative regulation of tumor necrosis factor superfamily cytokine production (GO:1903556),0.11617304931105585,-0.8014235387226156,-1.274916559916421
160,regulation of chondrocyte differentiation (GO:0032330),0.116585219278201,-0.8169434706068635,-1.2726744000306467
161,gluconeogenesis (GO:0006094),0.11662370386897086,-0.8060626404415336,-1.276790328781733
162,positive regulation of interleukin-4 production (GO:0032753),0.11663840249976813,-0.8020901775630407,-1.2762037701173443
163,immune response-activating cell surface receptor signaling pathway (GO:0002429),0.11679493393858797,-0.8037010327454049,-1.2788132225046682
164,regulation of phagocytosis (GO:0050764),0.11689765132326731,-0.7941907993518218,-1.2784649920632607
165,regulation of protein kinase A signaling (GO:0010738),0.11690369741993041,-0.8339313707486964,-1.274941929823296
166,positive regulation of interleukin-8 production (GO:0032757),0.11695069018502921,-0.7993951595283738,-1.2790432174070094
167,negative regulation of phagocytosis (GO:0050765),0.11699898063518069,-0.8411220782802111,-1.2781036399271264
168,negative regulation of lymphocyte proliferation (GO:0050672),0.11726039293866736,-0.8176644794902701,-1.2774599620640532
169,peptidyl-tyrosine modification (GO:0018212),0.11732898463244791,-0.7916000736002903,-1.2767983324014414
170,positive regulation of cartilage development (GO:0061036),0.11735730682308976,-0.841405557720371,-1.2770424532524731
171,positive regulation of actin cytoskeleton reorganization (GO:2000251),0.1173957947237926,-0.8313309566141497,-1.2762215763462563
172,regulation of tumor necrosis factor production (GO:0032680),0.11748575870221564,-0.7839784982046379,-1.2716863497603716
173,B cell proliferation (GO:0042100),0.1177312335684416,-0.8399674129992475,-1.2775691097891895
174,regulation of T cell cytokine production (GO:0002724),0.11812519497962247,-0.8303257606735298,-1.2717151528881165
175,calcium-mediated signaling using intracellular calcium source (GO:0035584),0.11883717548967078,-0.8257119945338259,-1.2710483004991262
176,ATP synthesis coupled proton transport (GO:0015986),0.11966105576548722,0.812070821347002,1.7224439619311545
177,cellular response to peptide (GO:1901653),0.12055629205136031,-0.7757832587924127,-1.270397461807105
178,negative regulation of cell-matrix adhesion (GO:0001953),0.12096599721471522,-0.8183266778772348,-1.269379864748135
179,regulation of DNA recombination (GO:0000018),0.12097220888141003,-0.8024534385610815,-1.2675494780866134
180,regulation of interleukin-4 production (GO:0032673),0.12135561260254443,-0.8083178745823264,-1.2687209103838313
181,positive regulation of interleukin-2 production (GO:0032743),0.12140279032275476,-0.8220656821196145,-1.268896372642268
182,regulation of leukocyte migration (GO:0002685),0.12155291641916231,-0.8452470201055242,-1.2694360363089063
183,positive regulation of positive chemotaxis (GO:0050927),0.12158851374915007,-0.8220554915447001,-1.2675507234970458
184,regulation of interleukin-6 production (GO:0032675),0.12171096635103837,-0.7842153332301915,-1.2696102522229236
185,positive regulation of peptidyl-lysine acetylation (GO:2000758),0.1218452931446249,-0.8164822210394174,-1.2677557159641297
186,sensory perception of pain (GO:0019233),0.12194409044012038,-0.8430367970384831,-1.268231543202863
187,positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052),0.12198011413612188,-0.7964307691943586,-1.2652029019930255
188,"wound healing, spreading of cells (GO:0044319)",0.12217585552429018,-0.8278512438015376,-1.265361022512848
189,glucose metabolic process (GO:0006006),0.12222802239983109,-0.7966288272075507,-1.2649873334476176
190,positive regulation of endopeptidase activity (GO:0010950),0.12226283590463785,-0.8388209093137453,-1.2679168308912756
191,receptor internalization (GO:0031623),0.12252401235319571,-0.779533309533405,-1.2662275606589197
192,dendritic cell chemotaxis (GO:0002407),0.12252456290414362,-0.819030601354306,-1.266602036776004
193,antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844),0.12262780474501289,-0.800964625556098,-1.266714349903571
194,positive regulation of leukocyte adhesion to vascular endothelial cell (GO:1904996),0.12267274849816799,-0.837213667145982,-1.2654278066029214
195,positive regulation of tumor necrosis factor production (GO:0032760),0.12272526080557346,-0.7877195187334785,-1.2658684047857751
196,positive regulation of histone modification (GO:0031058),0.12282414461675077,-0.7928703570213289,-1.2656154390501215
197,cellular defense response (GO:0006968),0.12293168193833567,-0.7929714010252743,-1.2662976497226182
198,regulation of telomere maintenance via telomere lengthening (GO:1904356),0.12296149782248948,-0.8282910596294488,-1.2645551077172925
199,negative regulation of G protein-coupled receptor signaling pathway (GO:0045744),0.12334299500326223,-0.8152738217492075,-1.2639868620861139
200,regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798),0.12383309764007602,-0.8210750872889273,-1.2640236259886766
201,regulation of defense response to virus (GO:0050688),0.12451934245528092,-0.8345038215375509,-1.2628256882236968
202,regulation of intracellular protein transport (GO:0033157),0.12452972814456666,-0.8035542471438701,-1.2630369226529936
203,regulation of platelet activation (GO:0010543),0.12497281802651934,-0.8143130585307709,-1.2630643786317812
204,regulation of protein dephosphorylation (GO:0035304),0.12678146986529507,-0.7868085531161694,-1.2619184248069577
205,positive regulation of lymphocyte activation (GO:0051251),0.12797673435318876,-0.8119921833397816,-1.2608829128482877
206,regulation of focal adhesion assembly (GO:0051893),0.1280978558871595,-0.7960979416010435,-1.2610102455303527
207,regulation of bone mineralization (GO:0030500),0.1282989247626989,-0.790260387181657,-1.2596244710006874
208,positive regulation of leukocyte cell-cell adhesion (GO:1903039),0.12831439891467458,-0.8183563294602512,-1.261084690354714
209,chondroitin sulfate proteoglycan biosynthetic process (GO:0050650),0.12883026878756193,-0.8175125212298913,-1.2596576738391791
210,positive regulation of phagocytosis (GO:0050766),0.12897062223182387,-0.7827132651889894,-1.260219200054267
211,positive regulation of production of molecular mediator of immune response (GO:0002702),0.12899914679040558,-0.7918807997612893,-1.2598192774179242
212,regulation of vascular endothelial growth factor signaling pathway (GO:1900746),0.1296314955491821,-0.8157241266660166,-1.2598227258963821
213,negative regulation of ATP metabolic process (GO:1903579),0.13039970718801117,-0.8290063061762468,-1.2586814281820642
214,long-chain fatty-acyl-CoA biosynthetic process (GO:0035338),0.1305393335623497,0.4290814639868578,1.676790979669702
215,response to molecule of bacterial origin (GO:0002237),0.13099285572372613,-0.7803388933482804,-1.2582299445381537
216,positive regulation of interleukin-10 production (GO:0032733),0.13271173893206037,-0.806631370274766,-1.2553468566384627
217,sterol transport (GO:0015918),0.13281888287070043,-0.8055122067734102,-1.2564079247826248
218,regulation of phosphate metabolic process (GO:0019220),0.13317907509833063,-0.82732979352539,-1.25497087412497
219,receptor metabolic process (GO:0043112),0.13322129481327508,-0.783046561407011,-1.2565268135737517
220,pyroptosis (GO:0070269),0.13327729265275576,-0.8063289700051994,-1.2553724712212082
221,response to organonitrogen compound (GO:0010243),0.13332436692348384,-0.7982069255172485,-1.2539918614626733
222,cellular response to molecule of bacterial origin (GO:0071219),0.13333077937835844,-0.7766682242477543,-1.2542634575458722
223,positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531),0.13346456078985974,-0.7838359142002982,-1.254392280684929
224,regulation of transcription elongation from RNA polymerase II promoter (GO:0034243),0.13353862547398285,-0.7961975230839577,-1.2566678351391496
225,positive regulation of response to external stimulus (GO:0032103),0.13354415472689896,-0.7754316757208132,-1.2555508376862972
226,negative regulation of DNA biosynthetic process (GO:2000279),0.13356923887675376,-0.8015985955365177,-1.2536483768055802
227,cellular response to interferon-gamma (GO:0071346),0.13372625600709476,-0.7718564386623328,-1.2556900421633714
228,regulation of programmed necrotic cell death (GO:0062098),0.13385532740383058,-0.8298348267712298,-1.2544871532920898
229,hexose biosynthetic process (GO:0019319),0.13412686053395217,-0.7939916605193765,-1.2567293397597457
230,response to cadmium ion (GO:0046686),0.13412914492293102,-0.8093871284901176,-1.2557929374519732
231,positive regulation of erythrocyte differentiation (GO:0045648),0.13449638764638638,-0.819287463715503,-1.2567841351227034
232,positive regulation of immune response (GO:0050778),0.1350625227358081,-0.7738006385806631,-1.2530226126811699
233,negative regulation of viral entry into host cell (GO:0046597),0.13565453655514226,-0.8082835475076339,-1.2524015367931343
234,cellular response to lipopolysaccharide (GO:0071222),0.1357541057300745,-0.7756445945567582,-1.2525534800865037
235,positive regulation of defense response (GO:0031349),0.13609065515320504,-0.7750072150383035,-1.252076496401425
236,positive regulation of mitochondrial fission (GO:0090141),0.13656394240615624,-0.8180137080406501,-1.2516217609997746
237,lymphocyte migration (GO:0072676),0.1367476462424445,-0.777346949878756,-1.2513324678445592
238,positive regulation of epithelial cell apoptotic process (GO:1904037),0.13705159006058112,-0.8240073569063641,-1.2510264393421315
239,regulation of actin cytoskeleton reorganization (GO:2000249),0.13884896796335622,-0.7963643846545678,-1.250129923530466
240,positive regulation of RNA metabolic process (GO:0051254),0.13902055155577245,-0.7846767987028995,-1.2498796102672318
241,"RNA splicing, via endonucleolytic cleavage and ligation (GO:0000394)",0.13986357167394614,0.5684346935609981,1.690330372097769
242,liver development (GO:0001889),0.1399299720391955,-0.7932705130672646,-1.2486776681134062
243,production of small RNA involved in gene silencing by RNA (GO:0070918),0.14015774863405708,-0.7932174872246858,-1.2490237553521535
244,regulation of glucose transmembrane transport (GO:0010827),0.14023300134455952,-0.8176968406399856,-1.2491714490262131
245,positive regulation of myeloid leukocyte cytokine production involved in immune response (GO:0061081),0.14032163800095454,-0.8230952344715443,-1.2487601559220143
246,epiboly involved in wound healing (GO:0090505),0.14347762041324555,-0.8325032743390015,-1.246372965896976
247,cellular response to lectin (GO:1990858),0.14359216569685496,-0.7701012730729472,-1.2470966923382534
248,stimulatory C-type lectin receptor signaling pathway (GO:0002223),0.14359216569685496,-0.7701012730729472,-1.2470966923382534
249,cellular response to interleukin-12 (GO:0071349),0.1436132289704373,-0.7698715121741281,-1.2459466783096629
250,regulation of tyrosine phosphorylation of STAT protein (GO:0042509),0.14366090141158933,-0.7719056919719404,-1.2468463377996593
251,regulation of SMAD protein signal transduction (GO:0060390),0.14373796731788593,-0.8030845911742537,-1.2461799284648356
252,pattern recognition receptor signaling pathway (GO:0002221),0.1438742149865416,-0.7880684140912512,-1.2464096556169826
253,interleukin-12-mediated signaling pathway (GO:0035722),0.14442980666904606,-0.7721716782439433,-1.2464411340367172
254,regulation of inflammatory response (GO:0050727),0.14528216586289375,-0.7626095317173236,-1.2453279359267928
255,negative regulation of interleukin-8 production (GO:0032717),0.14585567167821667,-0.8214749926250675,-1.2447305340035706
256,neutrophil activation (GO:0042119),0.14610190724795083,-0.8049365880458645,-1.2448668074643114
257,DNA conformation change (GO:0071103),0.14630743603249305,-0.8011318246052339,-1.2442408812531902
258,positive regulation of protein dephosphorylation (GO:0035307),0.14647814055252278,-0.7830817080662373,-1.2444247617234163
259,peptide catabolic process (GO:0043171),0.14654142141863757,-0.8020079791901982,-1.2412461180565195
260,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460),0.14666147674471142,-0.7974413632436125,-1.2438623334165324
261,neutrophil migration (GO:1990266),0.14702513113749255,-0.7694695073531373,-1.241286299818553
262,I-kappaB kinase/NF-kappaB signaling (GO:0007249),0.14754834065580827,-0.785766400049447,-1.2412978150988165
263,positive regulation of cytokine production (GO:0001819),0.1479763783830954,-0.7561458959225286,-1.242584689789231
264,regulation of acute inflammatory response (GO:0002673),0.14805480424963688,-0.8112802758298495,-1.240449062348728
265,phosphatidylglycerol metabolic process (GO:0046471),0.14807554413991264,-0.8175447406858727,-1.2413011759733048
266,granulocyte chemotaxis (GO:0071621),0.14809709102981,-0.7683732053259686,-1.2423323415160694
